epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,28193.5,0.58173,0.47197,0.99717,0.67669,0.69827,0.73701,0.61182,0.88962,1.35371,1.33699,0.000843851,0.000843851,0.000843851
67,28591.1,0.57974,0.46982,0.99529,0.67665,0.69865,0.73677,0.61217,0.88876,1.357,1.33759,0.00083929,0.00083929,0.00083929
68,28986.5,0.58126,0.47097,0.99505,0.67792,0.69853,0.73736,0.6129,0.88835,1.36278,1.3383,0.000834676,0.000834676,0.000834676
69,29386.5,0.57603,0.46795,0.99236,0.67672,0.70121,0.73826,0.61416,0.88833,1.36017,1.33909,0.00083001,0.00083001,0.00083001
70,29781.6,0.57151,0.46383,0.99084,0.6761,0.70003,0.73849,0.61431,0.88808,1.36371,1.33975,0.000825293,0.000825293,0.000825293
71,30180.3,0.57243,0.46475,0.99142,0.67772,0.69644,0.73851,0.61473,0.88784,1.36444,1.34033,0.000820525,0.000820525,0.000820525
72,30575.4,0.56432,0.45979,0.98428,0.67824,0.69559,0.73959,0.6157,0.88754,1.36527,1.34055,0.000815707,0.000815707,0.000815707
73,30970.2,0.55887,0.45767,0.97927,0.67555,0.69868,0.73992,0.616,0.88804,1.36701,1.34116,0.000810841,0.000810841,0.000810841
74,31368.5,0.56045,0.45647,0.98107,0.67505,0.69772,0.73957,0.61609,0.8878,1.3663,1.342,0.000805925,0.000805925,0.000805925
75,31759.7,0.55452,0.4531,0.97916,0.67479,0.6981,0.73991,0.6167,0.88755,1.36755,1.34272,0.000800963,0.000800963,0.000800963
76,32142,0.55774,0.4507,0.9828,0.67744,0.69724,0.73989,0.617,0.88688,1.36665,1.34263,0.000795954,0.000795954,0.000795954
77,32523.9,0.55438,0.4562,0.98114,0.67743,0.69574,0.73971,0.61711,0.88682,1.36806,1.34341,0.000790898,0.000790898,0.000790898
