                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.65828,                0.36743,                 1.0035,                0.90793,                0.89475,                0.92438,                0.68803,                0.82826,                0.45522,                 1.0188,             0.00027579,             0.00027579,             0.00027579
                     49,                0.65113,                0.36779,                  1.005,                0.91146,                0.88869,                0.92333,                 0.6859,                0.82316,                0.46552,                 1.0093,             0.00026804,             0.00026804,             0.00026804
                     50,                0.64489,                 0.3622,                0.99666,                0.90429,                 0.8991,                0.92412,                0.68538,                0.82381,                0.45252,                 1.0223,             0.00026027,             0.00026027,             0.00026027
                     51,                0.64245,                0.35881,                 1.0002,                0.91109,                0.88887,                 0.9241,                0.68609,                0.81396,                0.46359,                  1.006,              0.0002525,              0.0002525,              0.0002525
                     52,                  0.641,                0.35557,                0.99527,                0.91333,                0.89604,                0.92571,                0.69252,                0.80507,                0.45597,                 1.0022,             0.00024473,             0.00024473,             0.00024473
                     53,                0.63278,                0.35614,                0.98947,                0.90333,                0.90093,                0.92622,                0.69312,                0.81557,                0.45191,                  1.019,             0.00023696,             0.00023696,             0.00023696
                     54,                0.62769,                0.34936,                0.99094,                0.91347,                0.88817,                0.92184,                0.69145,                0.81528,                 0.4531,                 1.0173,             0.00022921,             0.00022921,             0.00022921
                     55,                0.62384,                 0.3469,                0.98849,                0.91647,                0.89225,                0.92298,                0.69153,                 0.8141,                0.45484,                  1.017,             0.00022148,             0.00022148,             0.00022148
                     56,                 0.6188,                0.34778,                0.98821,                0.90563,                0.90216,                0.92391,                0.69451,                 0.8061,                 0.4467,                 1.0139,             0.00021378,             0.00021378,             0.00021378
                     57,                0.61671,                0.34252,                0.98612,                0.91335,                0.88882,                0.92545,                0.69429,                0.81533,                0.44993,                 1.0212,             0.00020612,             0.00020612,             0.00020612
                     58,                 0.6131,                0.34361,                0.98387,                0.91385,                0.89667,                0.92785,                0.69853,                0.80994,                0.44594,                 1.0242,             0.00019851,             0.00019851,             0.00019851
                     59,                 0.6103,                0.34335,                0.98106,                0.91565,                0.89802,                0.92478,                 0.6921,                0.80991,                0.44978,                 1.0179,             0.00019095,             0.00019095,             0.00019095
                     60,                0.60678,                0.33667,                0.97955,                0.91767,                0.89463,                 0.9293,                0.69896,                0.80254,                0.44348,                 1.0161,             0.00018345,             0.00018345,             0.00018345
                     61,                0.59966,                0.33367,                 0.9744,                0.91692,                 0.8975,                0.92942,                0.70176,                0.79199,                0.43784,                 1.0101,             0.00017602,             0.00017602,             0.00017602
                     62,                0.60316,                0.33311,                0.97614,                0.91492,                0.89825,                0.92595,                0.69913,                0.80861,                  0.444,                 1.0244,             0.00016866,             0.00016866,             0.00016866
                     63,                0.59585,                0.32946,                0.97207,                0.90864,                0.90354,                0.92511,                0.69852,                0.80147,                0.44193,                 1.0145,             0.00016139,             0.00016139,             0.00016139
                     64,                 0.5956,                0.32917,                0.97195,                0.90352,                0.90462,                0.92701,                0.70202,                0.79478,                 0.4445,                 1.0089,             0.00015421,             0.00015421,             0.00015421
                     65,                0.58674,                0.32722,                0.97534,                0.91263,                0.89797,                0.92732,                0.70283,                0.79647,                0.43952,                  1.018,             0.00014712,             0.00014712,             0.00014712
                     66,                0.58553,                0.32534,                0.96828,                0.91313,                0.89872,                0.92815,                0.70505,                0.79419,                0.44259,                  1.016,             0.00014014,             0.00014014,             0.00014014
                     67,                0.58328,                0.32095,                0.96896,                0.91169,                0.90309,                0.92957,                0.70806,                0.78746,                0.44018,                 1.0093,             0.00013327,             0.00013327,             0.00013327
                     68,                0.57685,                0.31886,                0.96575,                0.90946,                0.90411,                0.92814,                0.70561,                 0.7975,                0.44132,                 1.0202,             0.00012651,             0.00012651,             0.00012651
                     69,                0.57816,                 0.3193,                0.96682,                0.90926,                0.89902,                0.92505,                0.70387,                0.78833,                0.45179,                  1.002,             0.00011988,             0.00011988,             0.00011988
