                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.1457,                0.93745,                 1.3202,                0.85665,                 0.8081,                0.86934,                0.56772,                 1.0953,                0.63132,                 1.2022,              0.0007353,              0.0007353,              0.0007353
                     71,                 1.1394,                0.94295,                 1.3212,                0.86313,                0.80451,                0.87033,                 0.5696,                 1.0943,                0.62939,                 1.2018,             0.00072836,             0.00072836,             0.00072836
                     72,                 1.1286,                0.93668,                 1.3155,                0.85468,                0.81581,                0.87277,                0.57056,                 1.0928,                0.62835,                 1.2013,             0.00072137,             0.00072137,             0.00072137
                     73,                 1.1352,                0.94263,                 1.3198,                0.85398,                 0.8188,                0.87322,                0.57205,                 1.0881,                0.62604,                 1.1984,             0.00071433,             0.00071433,             0.00071433
                     74,                 1.1321,                0.93759,                 1.3186,                0.86196,                0.81408,                0.87537,                0.57362,                 1.0851,                 0.6244,                 1.1968,             0.00070723,             0.00070723,             0.00070723
                     75,                 1.1227,                0.92366,                 1.3128,                0.86454,                0.81225,                 0.8754,                0.57364,                 1.0831,                0.62266,                 1.1958,             0.00070008,             0.00070008,             0.00070008
                     76,                 1.1242,                0.91831,                 1.3109,                0.85786,                0.81597,                0.87553,                0.57478,                 1.0812,                0.62149,                  1.195,             0.00069289,             0.00069289,             0.00069289
                     77,                 1.1271,                0.93351,                 1.3127,                0.86274,                0.81525,                 0.8765,                 0.5766,                 1.0802,                0.61998,                 1.1941,             0.00068564,             0.00068564,             0.00068564
                     78,                 1.1196,                0.90812,                 1.3023,                0.85386,                0.82431,                0.87743,                0.57831,                 1.0786,                 0.6176,                 1.1925,             0.00067835,             0.00067835,             0.00067835
                     79,                 1.1195,                0.91675,                  1.304,                0.85851,                0.82273,                0.87846,                0.57944,                 1.0774,                0.61595,                 1.1914,             0.00067102,             0.00067102,             0.00067102
                     80,                 1.1108,                0.91292,                 1.2984,                0.85327,                0.82653,                0.87882,                0.57982,                 1.0763,                0.61422,                 1.1902,             0.00066365,             0.00066365,             0.00066365
                     81,                 1.1042,                 0.8998,                 1.2917,                0.85058,                 0.8256,                0.87641,                0.58061,                 1.0742,                0.61186,                 1.1889,             0.00065624,             0.00065624,             0.00065624
                     82,                 1.1017,                0.89403,                 1.2923,                0.85468,                0.82542,                 0.8777,                0.58311,                 1.0728,                0.61022,                 1.1879,             0.00064879,             0.00064879,             0.00064879
                     83,                 1.0979,                0.89504,                 1.2859,                0.85239,                0.83189,                0.87958,                0.58414,                 1.0705,                0.60876,                 1.1865,              0.0006413,              0.0006413,              0.0006413
                     84,                 1.0972,                0.89301,                 1.2914,                 0.8533,                0.83267,                0.88029,                0.58524,                 1.0694,                0.60752,                 1.1857,             0.00063378,             0.00063378,             0.00063378
                     85,                 1.0979,                0.89236,                 1.2886,                0.85475,                0.83155,                0.88018,                0.58661,                 1.0675,                0.60599,                 1.1845,             0.00062622,             0.00062622,             0.00062622
                     86,                 1.0948,                0.88153,                 1.2903,                0.85396,                0.83321,                0.88053,                0.58815,                 1.0648,                0.60432,                 1.1834,             0.00061864,             0.00061864,             0.00061864
                     87,                 1.0941,                0.88862,                 1.2879,                0.85779,                0.83197,                0.88344,                 0.5889,                 1.0632,                0.60346,                 1.1825,             0.00061103,             0.00061103,             0.00061103
                     88,                 1.0823,                 0.8743,                 1.2826,                0.85756,                0.83207,                0.88394,                0.59004,                 1.0606,                0.60185,                 1.1814,             0.00060339,             0.00060339,             0.00060339
                     89,                 1.0892,                0.88587,                 1.2853,                0.85609,                0.83339,                0.88537,                0.59098,                 1.0588,                0.60001,                 1.1808,             0.00059572,             0.00059572,             0.00059572
                     90,                 1.0889,                0.87876,                 1.2865,                0.85558,                0.83538,                0.88589,                0.59222,                 1.0568,                0.59868,                 1.1796,             0.00058803,             0.00058803,             0.00058803
                     91,                 1.0785,                0.85914,                 1.2779,                 0.8544,                0.83347,                0.88566,                0.59301,                 1.0553,                0.59755,                 1.1788,             0.00058033,             0.00058033,             0.00058033
                     92,                 1.0743,                0.86319,                 1.2742,                0.85457,                0.83674,                0.88709,                0.59354,                 1.0541,                0.59652,                 1.1782,              0.0005726,              0.0005726,              0.0005726
                     93,                  1.078,                0.87768,                 1.2779,                0.85884,                0.83311,                0.88647,                0.59404,                 1.0529,                0.59583,                 1.1775,             0.00056485,             0.00056485,             0.00056485
                     94,                 1.0632,                0.85353,                  1.269,                0.86002,                0.83043,                0.88504,                 0.5949,                 1.0516,                0.59458,                 1.1768,             0.00055709,             0.00055709,             0.00055709
                     95,                 1.0658,                0.85327,                 1.2687,                0.86386,                0.82608,                0.88597,                0.59527,                 1.0501,                0.59335,                 1.1758,             0.00054932,             0.00054932,             0.00054932
                     96,                 1.0664,                0.85353,                 1.2691,                0.86426,                0.82718,                0.88662,                0.59579,                 1.0487,                0.59214,                  1.175,             0.00054153,             0.00054153,             0.00054153
                     97,                   1.06,                0.84922,                 1.2677,                0.86246,                0.82977,                0.88687,                0.59676,                 1.0474,                0.59079,                 1.1744,             0.00053374,             0.00053374,             0.00053374
                     98,                 1.0616,                0.85301,                 1.2655,                0.86205,                0.83058,                0.88736,                0.59712,                  1.046,                0.59028,                 1.1739,             0.00052594,             0.00052594,             0.00052594
                     99,                 1.0549,                0.83809,                 1.2619,                0.85708,                0.83396,                0.88769,                0.59759,                 1.0447,                0.58986,                 1.1731,             0.00051813,             0.00051813,             0.00051813
                    100,                 1.0518,                0.83599,                 1.2577,                0.85798,                0.83337,                0.88779,                0.59803,                 1.0435,                0.58895,                 1.1724,             0.00051031,             0.00051031,             0.00051031
                    101,                 1.0545,                0.84169,                  1.262,                0.85833,                0.83405,                0.88767,                0.59759,                 1.0425,                0.58839,                 1.1719,              0.0005025,              0.0005025,              0.0005025
                    102,                 1.0441,                0.83809,                 1.2565,                0.86162,                0.83139,                0.88813,                0.59843,                 1.0411,                0.58793,                 1.1713,             0.00049469,             0.00049469,             0.00049469
                    103,                 1.0411,                0.83501,                 1.2527,                0.86426,                 0.8296,                0.88845,                0.59917,                 1.0401,                0.58719,                 1.1708,             0.00048687,             0.00048687,             0.00048687
                    104,                 1.0468,                 0.8327,                 1.2558,                0.87208,                 0.8256,                0.88848,                0.60006,                 1.0389,                0.58633,                   1.17,             0.00047906,             0.00047906,             0.00047906
                    105,                 1.0457,                0.83563,                 1.2576,                 0.8665,                 0.8293,                0.88875,                0.60091,                 1.0377,                0.58577,                 1.1695,             0.00047126,             0.00047126,             0.00047126
                    106,                 1.0359,                0.81962,                 1.2514,                0.86989,                 0.8272,                0.88905,                 0.6007,                 1.0367,                0.58506,                 1.1691,             0.00046347,             0.00046347,             0.00046347
                    107,                 1.0327,                0.81255,                 1.2479,                 0.8697,                0.82766,                0.88924,                0.60126,                 1.0356,                0.58446,                 1.1685,             0.00045568,             0.00045568,             0.00045568
                    108,                 1.0285,                0.80862,                 1.2457,                0.87129,                0.82798,                0.88995,                0.60146,                 1.0345,                0.58368,                  1.168,             0.00044791,             0.00044791,             0.00044791
                    109,                 1.0332,                0.81656,                   1.25,                0.87432,                0.82689,                 0.8904,                0.60219,                 1.0334,                0.58321,                 1.1673,             0.00044015,             0.00044015,             0.00044015
                    110,                 1.0228,                0.80266,                  1.241,                0.87057,                0.82982,                0.89049,                0.60309,                 1.0322,                0.58246,                 1.1668,              0.0004324,              0.0004324,              0.0004324
                    111,                 1.0197,                 0.7981,                 1.2428,                0.86653,                0.83414,                0.89047,                0.60279,                 1.0313,                0.58152,                 1.1663,             0.00042467,             0.00042467,             0.00042467
                    112,                 1.0177,                0.80673,                  1.242,                 0.8653,                0.83557,                0.89086,                 0.6033,                 1.0303,                0.58054,                 1.1657,             0.00041697,             0.00041697,             0.00041697
                    113,                 1.0246,                0.80566,                 1.2447,                0.86889,                0.83275,                0.89093,                0.60371,                 1.0295,                0.57989,                 1.1655,             0.00040928,             0.00040928,             0.00040928
                    114,                 1.0212,                0.80975,                 1.2427,                0.87081,                0.83185,                0.89087,                0.60426,                 1.0283,                0.57951,                 1.1648,             0.00040161,             0.00040161,             0.00040161
                    115,                 1.0222,                0.81462,                 1.2425,                0.87206,                0.83196,                0.89111,                0.60408,                 1.0274,                0.57863,                 1.1643,             0.00039397,             0.00039397,             0.00039397
                    116,                 1.0084,                0.79255,                 1.2313,                0.87102,                0.83243,                0.89144,                0.60462,                 1.0264,                0.57815,                 1.1639,             0.00038636,             0.00038636,             0.00038636
                    117,                 1.0171,                 0.7967,                 1.2344,                0.87146,                0.83467,                 0.8923,                 0.6054,                 1.0255,                0.57769,                 1.1635,             0.00037878,             0.00037878,             0.00037878
                    118,                 1.0063,                0.78692,                  1.234,                0.87066,                0.83668,                0.89292,                0.60592,                 1.0248,                0.57698,                 1.1631,             0.00037122,             0.00037122,             0.00037122
                    119,                 1.0122,                0.79339,                 1.2333,                0.87229,                 0.8354,                0.89309,                0.60648,                 1.0242,                0.57635,                 1.1628,              0.0003637,              0.0003637,              0.0003637
                    120,                 1.0044,                0.78684,                 1.2288,                0.87347,                0.83439,                0.89321,                0.60685,                 1.0233,                0.57564,                 1.1625,             0.00035621,             0.00035621,             0.00035621
                    121,                0.99874,                 0.7857,                 1.2286,                0.87427,                0.83426,                0.89282,                0.60682,                 1.0224,                  0.575,                 1.1619,             0.00034876,             0.00034876,             0.00034876
                    122,                 0.9953,                 0.7825,                 1.2215,                0.87345,                0.83574,                0.89269,                0.60763,                 1.0215,                0.57466,                 1.1615,             0.00034135,             0.00034135,             0.00034135
                    123,                0.99611,                0.78675,                 1.2258,                0.87422,                0.83598,                0.89295,                0.60791,                 1.0204,                0.57398,                  1.161,             0.00033398,             0.00033398,             0.00033398
                    124,                 0.9928,                 0.7758,                 1.2217,                0.87568,                0.83621,                0.89319,                0.60852,                 1.0197,                0.57337,                 1.1605,             0.00032665,             0.00032665,             0.00032665
                    125,                0.99314,                0.77978,                 1.2191,                0.87432,                0.83798,                0.89353,                0.60891,                 1.0189,                0.57264,                 1.1601,             0.00031936,             0.00031936,             0.00031936
                    126,                0.99196,                0.77425,                 1.2191,                0.87244,                0.83814,                 0.8935,                0.60934,                 1.0182,                0.57179,                 1.1597,             0.00031211,             0.00031211,             0.00031211
                    127,                0.98519,                0.77479,                 1.2204,                0.87138,                0.83894,                 0.8937,                0.60962,                 1.0174,                0.57133,                 1.1592,             0.00030492,             0.00030492,             0.00030492
                    128,                0.98037,                0.76337,                 1.2144,                0.87305,                0.83868,                0.89399,                 0.6098,                 1.0164,                 0.5707,                 1.1586,             0.00029777,             0.00029777,             0.00029777
                    129,                0.98379,                0.76641,                 1.2175,                0.87282,                0.83935,                 0.8938,                0.60975,                 1.0159,                0.57037,                 1.1583,             0.00029067,             0.00029067,             0.00029067
                    130,                0.97452,                0.75204,                 1.2096,                0.87468,                0.83727,                0.89405,                 0.6103,                  1.015,                0.56984,                 1.1579,             0.00028363,             0.00028363,             0.00028363
                    131,                0.97684,                0.76016,                 1.2119,                0.87574,                0.83527,                0.89416,                0.61057,                 1.0144,                0.56912,                 1.1576,             0.00027664,             0.00027664,             0.00027664
                    132,                0.97164,                 0.7497,                 1.2107,                0.87621,                0.83569,                0.89423,                0.61074,                 1.0135,                0.56901,                 1.1571,              0.0002697,              0.0002697,              0.0002697
                    133,                0.97878,                0.76503,                 1.2131,                0.87513,                0.83661,                0.89447,                0.61069,                 1.0127,                0.56833,                 1.1566,             0.00026283,             0.00026283,             0.00026283
                    134,                0.97321,                0.76008,                 1.2129,                0.87728,                 0.8353,                0.89451,                0.61099,                 1.0121,                0.56782,                 1.1561,             0.00025601,             0.00025601,             0.00025601
