epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,7132.86,1.25016,1.05637,1.45402,0.75872,0.78638,0.78254,0.41548,1.57937,1.09813,1.58788,1.16268e-05,1.16268e-05,1.16268e-05
65,7219.81,1.25626,1.04803,1.46294,0.7614,0.78637,0.78175,0.41526,1.57857,1.09869,1.58711,1.04537e-05,1.04537e-05,1.04537e-05
66,7299.57,1.24413,1.0407,1.45044,0.76067,0.78723,0.78118,0.41569,1.57828,1.09916,1.5897,9.34225e-06,9.34225e-06,9.34225e-06
67,7382.31,1.24313,1.04546,1.44851,0.75417,0.7916,0.78156,0.41422,1.58097,1.10108,1.58995,8.29431e-06,8.29431e-06,8.29431e-06
68,7464.31,1.24148,1.03867,1.45035,0.75809,0.78673,0.78141,0.41635,1.57768,1.09896,1.58726,7.31145e-06,7.31145e-06,7.31145e-06
69,7545.72,1.2502,1.03742,1.45156,0.76072,0.78834,0.78415,0.41679,1.5769,1.09619,1.58908,6.39518e-06,6.39518e-06,6.39518e-06
70,7629.46,1.23231,1.03424,1.44489,0.76366,0.7844,0.7818,0.4164,1.57677,1.09729,1.58814,5.54691e-06,5.54691e-06,5.54691e-06
71,7713.41,1.24957,1.03373,1.45136,0.76212,0.79286,0.78413,0.41597,1.57746,1.0982,1.58689,4.76796e-06,4.76796e-06,4.76796e-06
72,7795.16,1.24392,1.0446,1.45132,0.75525,0.7969,0.7824,0.41699,1.57846,1.09804,1.58757,4.05953e-06,4.05953e-06,4.05953e-06
73,7878.05,1.24158,1.03449,1.44805,0.74901,0.80295,0.78148,0.41543,1.5783,1.09796,1.58889,3.4227e-06,3.4227e-06,3.4227e-06
74,7960.65,1.24903,1.03231,1.45117,0.74995,0.79969,0.78108,0.41576,1.57763,1.09752,1.58771,2.85847e-06,2.85847e-06,2.85847e-06
75,8040.21,1.2422,1.03947,1.45032,0.74964,0.79393,0.78097,0.4156,1.57779,1.09917,1.58766,2.36769e-06,2.36769e-06,2.36769e-06
76,8122.74,1.24529,1.03507,1.45046,0.7557,0.79614,0.78167,0.4166,1.57826,1.09653,1.58735,1.95113e-06,1.95113e-06,1.95113e-06
77,8204.49,1.25179,1.02977,1.45377,0.74592,0.81052,0.78154,0.41458,1.57882,1.09945,1.58612,1.60943e-06,1.60943e-06,1.60943e-06
78,8286.33,1.24654,1.03574,1.45381,0.74418,0.80348,0.77929,0.41561,1.57667,1.10108,1.58768,1.34311e-06,1.34311e-06,1.34311e-06
79,8370.98,1.23806,1.03015,1.44331,0.75299,0.80345,0.78134,0.41722,1.57717,1.09872,1.5882,1.15259e-06,1.15259e-06,1.15259e-06
80,8454.8,1.25241,1.04311,1.45695,0.75216,0.8,0.78403,0.417,1.5765,1.09667,1.58686,1.03816e-06,1.03816e-06,1.03816e-06
