======================================================================
SHOPLIFTING DETECTION LOG
Date: 2026-03-14 11:01:05
Source: C:\Users\vrajr\Downloads\WhatsApp Video 2026-03-10 at 00.45.09.mp4
Confidence: 0.15
Strategy: Best-of-Both-Models
======================================================================

Frame     61 | normal          | Conf: 0.8578 | Model: Stable Model (150ep)           | Box: [462, 97, 569, 370]
Frame     62 | normal          | Conf: 0.7528 | Model: Fast Model (best)              | Box: [470, 93, 569, 378]
Frame     62 | normal          | Conf: 0.8173 | Model: Stable Model (150ep)           | Box: [462, 96, 571, 371]
Frame     63 | normal          | Conf: 0.7655 | Model: Fast Model                     | Box: [468, 90, 570, 378]
Frame     63 | normal          | Conf: 0.8197 | Model: Stable Model (150ep)           | Box: [461, 95, 574, 370]
Frame     64 | normal          | Conf: 0.7658 | Model: Fast Model                     | Box: [467, 92, 570, 379]
Frame     64 | normal          | Conf: 0.8287 | Model: Stable Model (150ep)           | Box: [461, 98, 571, 367]
Frame     65 | normal          | Conf: 0.7473 | Model: Fast Model                     | Box: [468, 87, 570, 377]
Frame     65 | normal          | Conf: 0.8290 | Model: Stable Model (150ep)           | Box: [458, 98, 571, 367]
Frame     66 | normal          | Conf: 0.7482 | Model: Fast Model                     | Box: [469, 100, 571, 376]
Frame     66 | normal          | Conf: 0.8186 | Model: Stable Model (150ep)           | Box: [453, 101, 570, 368]
Frame     67 | normal          | Conf: 0.7312 | Model: Fast Model                     | Box: [469, 102, 571, 377]
Frame     67 | normal          | Conf: 0.8244 | Model: Stable Model (150ep)           | Box: [452, 101, 570, 367]
Frame     68 | normal          | Conf: 0.6818 | Model: Fast Model                     | Box: [468, 110, 571, 378]
Frame     68 | normal          | Conf: 0.8349 | Model: Stable Model (150ep)           | Box: [457, 100, 569, 366]
Frame     69 | normal          | Conf: 0.6960 | Model: Fast Model                     | Box: [467, 112, 570, 378]
Frame     69 | normal          | Conf: 0.8200 | Model: Stable Model (150ep)           | Box: [457, 100, 569, 366]
Frame     70 | normal          | Conf: 0.7081 | Model: Fast Model                     | Box: [466, 112, 569, 378]
Frame     70 | normal          | Conf: 0.8313 | Model: Stable Model (150ep)           | Box: [456, 101, 569, 365]
Frame     71 | normal          | Conf: 0.6790 | Model: Fast Model                     | Box: [466, 113, 568, 378]
Frame     71 | normal          | Conf: 0.8413 | Model: Stable Model (150ep)           | Box: [456, 101, 568, 367]
Frame     72 | normal          | Conf: 0.7315 | Model: Fast Model                     | Box: [467, 112, 567, 377]
Frame     72 | normal          | Conf: 0.8518 | Model: Stable Model (150ep)           | Box: [456, 101, 571, 368]
Frame     73 | normal          | Conf: 0.6831 | Model: Fast Model                     | Box: [465, 108, 566, 378]
Frame     73 | normal          | Conf: 0.8507 | Model: Stable Model (150ep)           | Box: [457, 100, 570, 365]
Frame     74 | normal          | Conf: 0.7200 | Model: Fast Model                     | Box: [463, 106, 567, 380]
Frame     74 | normal          | Conf: 0.8529 | Model: Stable Model (150ep)           | Box: [458, 99, 569, 364]
Frame     75 | normal          | Conf: 0.7359 | Model: Fast Model                     | Box: [464, 105, 567, 381]
Frame     75 | normal          | Conf: 0.8532 | Model: Stable Model (150ep)           | Box: [458, 100, 567, 364]
Frame     76 | normal          | Conf: 0.7444 | Model: Fast Model                     | Box: [464, 106, 565, 380]
Frame     76 | normal          | Conf: 0.8622 | Model: Stable Model (150ep)           | Box: [456, 100, 568, 363]
Frame     77 | normal          | Conf: 0.7539 | Model: Fast Model                     | Box: [464, 105, 565, 380]
Frame     77 | normal          | Conf: 0.8590 | Model: Stable Model (150ep)           | Box: [455, 101, 568, 364]
Frame     78 | normal          | Conf: 0.7705 | Model: Fast Model                     | Box: [463, 97, 565, 382]
Frame     78 | normal          | Conf: 0.8604 | Model: Stable Model (150ep)           | Box: [455, 105, 567, 364]
Frame     79 | normal          | Conf: 0.7671 | Model: Fast Model                     | Box: [462, 89, 565, 377]
Frame     79 | normal          | Conf: 0.8628 | Model: Stable Model (150ep)           | Box: [455, 105, 565, 363]
Frame     80 | normal          | Conf: 0.7094 | Model: Fast Model                     | Box: [460, 85, 564, 376]
Frame     80 | normal          | Conf: 0.8434 | Model: Stable Model (150ep)           | Box: [454, 105, 564, 362]
Frame     81 | normal          | Conf: 0.7071 | Model: Fast Model                     | Box: [459, 86, 563, 376]
Frame     81 | normal          | Conf: 0.8095 | Model: Stable Model (150ep)           | Box: [454, 105, 563, 361]
Frame     82 | normal          | Conf: 0.7322 | Model: Fast Model                     | Box: [456, 85, 561, 375]
Frame     82 | normal          | Conf: 0.7733 | Model: Stable Model (150ep)           | Box: [456, 105, 563, 362]
Frame     83 | normal          | Conf: 0.7354 | Model: Fast Model                     | Box: [454, 91, 561, 377]
Frame     83 | normal          | Conf: 0.6992 | Model: Stable Model (150ep)           | Box: [456, 106, 563, 365]
Frame     84 | normal          | Conf: 0.7874 | Model: Fast Model (best)              | Box: [452, 95, 561, 378]
Frame     84 | normal          | Conf: 0.5297 | Model: Stable Model (150ep)           | Box: [454, 102, 564, 365]
Frame     85 | normal          | Conf: 0.8054 | Model: Fast Model (best)              | Box: [451, 94, 561, 378]
Frame     85 | normal          | Conf: 0.4743 | Model: Stable Model (150ep)           | Box: [455, 99, 563, 365]
Frame     86 | normal          | Conf: 0.7792 | Model: Fast Model (best)              | Box: [451, 97, 560, 376]
Frame     87 | normal          | Conf: 0.7874 | Model: Fast Model (best)              | Box: [451, 98, 559, 375]
