======================================================================
ENSEMBLE SHOPLIFTING DETECTION LOG
======================================================================

Models: 2
Merge method: Weighted Box Fusion (WBF)
Model weights: [0.45, 0.55]
Confidence: 0.2

Total frames processed: 201
Total detections: 319

----------------------------------------------------------------------
DETECTIONS:
----------------------------------------------------------------------
Frame     64 | shoplifting     | Conf: 0.4558 | Box: [461, 99, 572, 367]
Frame     64 | normal          | Conf: 0.3446 | Box: [468, 92, 571, 379]
Frame     65 | shoplifting     | Conf: 0.4560 | Box: [458, 99, 571, 367]
Frame     65 | normal          | Conf: 0.3363 | Box: [468, 87, 570, 377]
Frame     66 | shoplifting     | Conf: 0.4502 | Box: [454, 102, 571, 369]
Frame     66 | normal          | Conf: 0.3367 | Box: [469, 101, 571, 377]
Frame     67 | shoplifting     | Conf: 0.4534 | Box: [453, 102, 570, 367]
Frame     67 | normal          | Conf: 0.3290 | Box: [470, 102, 571, 378]
Frame     68 | shoplifting     | Conf: 0.4592 | Box: [457, 101, 569, 367]
Frame     68 | normal          | Conf: 0.3068 | Box: [468, 111, 571, 379]
Frame     69 | shoplifting     | Conf: 0.4510 | Box: [457, 101, 569, 366]
Frame     69 | normal          | Conf: 0.3132 | Box: [468, 113, 571, 378]
Frame     70 | shoplifting     | Conf: 0.4572 | Box: [457, 101, 569, 366]
Frame     70 | normal          | Conf: 0.3186 | Box: [466, 112, 569, 379]
Frame     71 | shoplifting     | Conf: 0.4627 | Box: [457, 101, 569, 367]
Frame     71 | normal          | Conf: 0.3055 | Box: [467, 113, 569, 379]
Frame     72 | shoplifting     | Conf: 0.4685 | Box: [456, 101, 572, 369]
Frame     72 | normal          | Conf: 0.3292 | Box: [467, 113, 567, 377]
Frame     73 | shoplifting     | Conf: 0.4679 | Box: [458, 100, 571, 366]
Frame     73 | normal          | Conf: 0.3074 | Box: [466, 109, 567, 378]
Frame     74 | shoplifting     | Conf: 0.4691 | Box: [458, 100, 569, 365]
Frame     74 | normal          | Conf: 0.3240 | Box: [463, 106, 568, 381]
Frame     75 | shoplifting     | Conf: 0.4693 | Box: [459, 100, 568, 364]
Frame     75 | normal          | Conf: 0.3312 | Box: [464, 106, 567, 381]
Frame     76 | shoplifting     | Conf: 0.4742 | Box: [457, 100, 568, 364]
Frame     76 | normal          | Conf: 0.3350 | Box: [465, 107, 566, 381]
Frame     77 | shoplifting     | Conf: 0.4724 | Box: [456, 101, 568, 365]
Frame     77 | normal          | Conf: 0.3393 | Box: [464, 105, 565, 380]
Frame     78 | shoplifting     | Conf: 0.4732 | Box: [455, 106, 567, 364]
Frame     78 | normal          | Conf: 0.3467 | Box: [463, 97, 566, 382]
Frame     79 | shoplifting     | Conf: 0.4745 | Box: [455, 105, 566, 363]
Frame     79 | normal          | Conf: 0.3452 | Box: [462, 89, 566, 378]
Frame     80 | shoplifting     | Conf: 0.4639 | Box: [455, 106, 564, 362]
Frame     80 | normal          | Conf: 0.3192 | Box: [460, 86, 564, 376]
Frame     81 | shoplifting     | Conf: 0.4452 | Box: [455, 106, 564, 362]
Frame     81 | normal          | Conf: 0.3182 | Box: [459, 87, 563, 376]
Frame     82 | shoplifting     | Conf: 0.4253 | Box: [456, 106, 563, 362]
Frame     82 | normal          | Conf: 0.3295 | Box: [456, 85, 561, 376]
Frame     83 | shoplifting     | Conf: 0.3846 | Box: [456, 106, 563, 365]
Frame     83 | normal          | Conf: 0.3309 | Box: [454, 92, 561, 378]
Frame     84 | normal          | Conf: 0.5566 | Box: [452, 98, 562, 373]
Frame     84 | shoplifting     | Conf: 0.2913 | Box: [454, 103, 564, 366]
Frame     85 | normal          | Conf: 0.5513 | Box: [452, 96, 562, 373]
Frame     85 | shoplifting     | Conf: 0.2609 | Box: [455, 100, 564, 365]
Frame     86 | normal          | Conf: 0.6431 | Box: [453, 100, 561, 371]
Frame     87 | normal          | Conf: 0.6606 | Box: [453, 101, 560, 370]
Frame     88 | normal          | Conf: 0.5823 | Box: [454, 102, 560, 370]
Frame     88 | shoplifting     | Conf: 0.1756 | Box: [456, 99, 562, 364]
Frame     89 | normal          | Conf: 0.5746 | Box: [456, 103, 561, 372]
Frame     89 | shoplifting     | Conf: 0.1853 | Box: [457, 100, 562, 366]
Frame     90 | normal          | Conf: 0.5990 | Box: [462, 104, 562, 371]
Frame     91 | normal          | Conf: 0.5097 | Box: [464, 107, 561, 370]
Frame     92 | shoplifting     | Conf: 0.4771 | Box: [466, 97, 563, 368]
Frame     92 | normal          | Conf: 0.2998 | Box: [468, 99, 562, 371]
Frame     93 | normal          | Conf: 0.3884 | Box: [469, 97, 563, 371]
Frame     93 | shoplifting     | Conf: 0.3409 | Box: [464, 94, 564, 365]
Frame     94 | shoplifting     | Conf: 0.4469 | Box: [465, 91, 563, 366]
Frame     94 | normal          | Conf: 0.2088 | Box: [474, 97, 569, 374]
Frame     95 | normal          | Conf: 0.4189 | Box: [471, 94, 567, 373]
Frame     95 | shoplifting     | Conf: 0.4076 | Box: [465, 92, 563, 367]
Frame     96 | normal          | Conf: 0.5531 | Box: [469, 95, 568, 373]
Frame     96 | shoplifting     | Conf: 0.3718 | Box: [463, 89, 562, 369]
Frame     97 | normal          | Conf: 0.5008 | Box: [469, 95, 566, 373]
Frame     97 | shoplifting     | Conf: 0.3222 | Box: [461, 85, 563, 370]
Frame     98 | normal          | Conf: 0.6532 | Box: [462, 90, 568, 372]
Frame     98 | shoplifting     | Conf: 0.1519 | Box: [464, 83, 566, 368]
Frame     99 | normal          | Conf: 0.6301 | Box: [467, 97, 561, 370]
Frame     99 | shoplifting     | Conf: 0.3093 | Box: [465, 82, 566, 365]
Frame    100 | normal          | Conf: 0.7077 | Box: [464, 95, 562, 370]
Frame    100 | shoplifting     | Conf: 0.1847 | Box: [462, 86, 569, 372]
Frame    101 | normal          | Conf: 0.6913 | Box: [464, 93, 560, 375]
Frame    101 | shoplifting     | Conf: 0.2814 | Box: [460, 85, 566, 378]
Frame    102 | normal          | Conf: 0.6884 | Box: [460, 91, 560, 378]
Frame    103 | normal          | Conf: 0.6476 | Box: [459, 91, 561, 376]
Frame    103 | shoplifting     | Conf: 0.3439 | Box: [459, 91, 563, 379]
Frame    104 | normal          | Conf: 0.7053 | Box: [458, 91, 562, 375]
Frame    105 | normal          | Conf: 0.6542 | Box: [457, 91, 563, 374]
Frame    105 | shoplifting     | Conf: 0.1194 | Box: [462, 105, 564, 371]
Frame    106 | normal          | Conf: 0.5620 | Box: [459, 94, 564, 367]
Frame    106 | shoplifting     | Conf: 0.3334 | Box: [459, 82, 565, 365]
Frame    107 | normal          | Conf: 0.5295 | Box: [458, 96, 564, 370]
Frame    107 | shoplifting     | Conf: 0.3596 | Box: [458, 84, 563, 366]
